SKU Code,Design No.,Stock,Category,Size,Color,Color_clean,Category_clean,Category_group,Stock_per_Category,Color_Popularity,Size_Popularity,Design No._enc,Category_group_enc,Color_clean_enc,Size_enc
BL087-XS,BL087,18.0,Blouse,XS,Multicolor,Multicolor,Blouse,Western-Topwear,0.0006521975433892533,0.022004098802718152,0.12026750080897422,68,4,8,9
BL087-XXL,BL087,86.0,Blouse,XXL,Multicolor,Multicolor,Blouse,Western-Topwear,0.003116054929526432,0.022004098802718152,0.14432100097076905,68,4,8,10
BL089-L,BL089,4.0,Blouse,L,Multicolor,Multicolor,Blouse,Western-Topwear,0.00014493278741983405,0.022004098802718152,0.1439974112824938,69,4,8,4
BL089-M,BL089,4.0,Blouse,M,Multicolor,Multicolor,Blouse,Western-Topwear,0.00014493278741983405,0.022004098802718152,0.1447524538884694,69,4,8,5
BL089-S,BL089,3.0,Blouse,S,Multicolor,Multicolor,Blouse,Western-Topwear,0.00010869959056487554,0.022004098802718152,0.1459389494121454,69,4,8,6
BL089-XL,BL089,8.0,Blouse,XL,Multicolor,Multicolor,Blouse,Western-Topwear,0.0002898655748396681,0.022004098802718152,0.14453672742961923,69,4,8,8
BL089-XS,BL089,4.0,Blouse,XS,Multicolor,Multicolor,Blouse,Western-Topwear,0.00014493278741983405,0.022004098802718152,0.12026750080897422,69,4,8,9
BL089-XXL,BL089,7.0,Blouse,XXL,Multicolor,Multicolor,Blouse,Western-Topwear,0.0002536323779847096,0.022004098802718152,0.14432100097076905,69,4,8,10
BL090-L,BL090,30.0,Blouse,L,Peach,Pink,Blouse,Western-Topwear,0.0010869959056487553,0.13720202782871319,0.1439974112824938,70,4,12,4
BL090-M,BL090,44.0,Blouse,M,Peach,Pink,Blouse,Western-Topwear,0.0015942606616181746,0.13720202782871319,0.1447524538884694,70,4,12,5
BL090-S,BL090,11.0,Blouse,S,Peach,Pink,Blouse,Western-Topwear,0.00039856516540454366,0.13720202782871319,0.1459389494121454,70,4,12,6
BL090-XL,BL090,16.0,Blouse,XL,Peach,Pink,Blouse,Western-Topwear,0.0005797311496793362,0.13720202782871319,0.14453672742961923,70,4,12,8
BL090-XS,BL090,29.0,Blouse,XS,Peach,Pink,Blouse,Western-Topwear,0.0010507627087937969,0.13720202782871319,0.12026750080897422,70,4,12,9
BL090-XXL,BL090,19.0,Blouse,XXL,Peach,Pink,Blouse,Western-Topwear,0.0006884307402442117,0.13720202782871319,0.14432100097076905,70,4,12,10
BL091-L,BL091,4.0,Blouse,L,Multicolor,Multicolor,Blouse,Western-Topwear,0.00014493278741983405,0.022004098802718152,0.1439974112824938,71,4,8,4
